Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
322,5,Sep 29 2012,Sat,Texas Tech,24,@,Iowa State,13,
323,5,Sep 29 2012,Sat,Texas-San Antonio,35,@,New Mexico State,14,
324,5,Sep 29 2012,Sat,Toledo,37,@,Western Michigan,17,
325,5,Sep 29 2012,Sat,Troy,31,@,South Alabama,10,
326,5,Sep 29 2012,Sat,Tulsa,49,@,Alabama-Birmingham,42,
327,5,Sep 29 2012,Sat,UCLA,42,@,Colorado,14,
328,5,Sep 29 2012,Sat,Utah State,35,,Nevada-Las Vegas,13,
329,5,Sep 29 2012,Sat,(9) West Virginia,70,,(25) Baylor,63,
330,5,Sep 29 2012,Sat,Western Kentucky,26,@,Arkansas State,13,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
331,6,Oct 4 2012,Thu,Arkansas State,34,@,Florida International,20,
332,6,Oct 4 2012,Thu,Central Florida,40,,East Carolina,20,
333,6,Oct 4 2012,Thu,(13) Southern California,38,@,Utah,28,
334,6,Oct 5 2012,Fri,Brigham Young,6,,Utah State,3,
335,6,Oct 5 2012,Fri,Syracuse,14,,Pittsburgh,13,
336,6,Oct 6 2012,Sat,Alabama-Birmingham,52,,Southeastern Louisiana,3,
337,6,Oct 6 2012,Sat,Arkansas,24,@,Auburn,7,
338,6,Oct 6 2012,Sat,Army,34,,Boston College,31,
339,6,Oct 6 2012,Sat,Boise State,40,@,Southern Mississippi,14,
340,6,Oct 6 2012,Sat,Bowling Green State,24,@,Akron,10,
341,6,Oct 6 2012,Sat,California,43,,(25) UCLA,17,
342,6,Oct 6 2012,Sat,Cincinnati,52,,Miami (OH),14,
343,6,Oct 6 2012,Sat,(15) Clemson,47,,Georgia Tech,31,
344,6,Oct 6 2012,Sat,Duke,42,,Virginia,17,
345,6,Oct 6 2012,Sat,(10) Florida,14,,(4) Louisiana State,6,
346,6,Oct 6 2012,Sat,Fresno State,28,@,Colorado State,7,
347,6,Oct 6 2012,Sat,Houston,44,,North Texas,21,
348,6,Oct 6 2012,Sat,Idaho,26,,New Mexico State,18,
349,6,Oct 6 2012,Sat,Iowa State,37,@,(15) Texas Christian,23,
350,6,Oct 6 2012,Sat,(7) Kansas State,56,,Kansas,16,
351,6,Oct 6 2012,Sat,Kent State,41,@,Eastern Michigan,14,
352,6,Oct 6 2012,Sat,Louisiana Tech,58,,Nevada-Las Vegas,31,
353,6,Oct 6 2012,Sat,Louisiana-Lafayette,41,,Tulane,13,
354,6,Oct 6 2012,Sat,Louisiana-Monroe,31,@,Middle Tennessee State,17,
355,6,Oct 6 2012,Sat,Maryland,19,,Wake Forest,14,
356,6,Oct 6 2012,Sat,Memphis,14,,Rice,10,
357,6,Oct 6 2012,Sat,Michigan,44,@,Purdue,13,
358,6,Oct 6 2012,Sat,Michigan State,31,@,Indiana,27,
359,6,Oct 6 2012,Sat,(20) Mississippi State,27,@,Kentucky,14,
360,6,Oct 6 2012,Sat,Navy,28,@,Air Force,21,
361,6,Oct 6 2012,Sat,Nevada,35,,Wyoming,28,
362,6,Oct 6 2012,Sat,New Mexico,35,,Texas State,14,
363,6,Oct 6 2012,Sat,North Carolina,48,,Virginia Tech,34,
364,6,Oct 6 2012,Sat,North Carolina State,17,,(3) Florida State,16,
365,6,Oct 6 2012,Sat,Northern Illinois,35,@,Ball State,23,
